"행정구역별(시도)","연령별",2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"행정구역별(시도)","연령별",아동(12세 이하)-계,단일보육상태-계,부모,조부모(친가외가),기타 가족 및 친인척,가사 도우미베이비시터,혼자 또는 다른아동과 지냄,어린이집,유치원,지역아동센터,방과후학교 초등돌봄교실,학원(예체능포함 놀이학교 영어유치원등),기타,복합보육상태-계,아동의부모+어린이집,아동의부모+방과후학교초등돌봄교실,아동의부모+유치원,아동의부모+아동의 조부모,방과후학교 초등돌봄교실+지역아동센터,복합수단기타
"대구광역시","9세",21138,14154,8657,1527,125,58,416,-,-,204,670,2485,12,6984,-,565,-,294,35,6090
"대구광역시","10세",20302,13809,7685,1347,138,29,752,-,-,284,532,3029,13,6493,-,537,-,226,51,5679
"대구광역시","11세",20087,14285,7979,1303,169,21,791,-,-,270,486,3254,12,5802,-,492,-,208,32,5070
"대구광역시","12세",17533,12898,6847,1085,112,13,1013,-,-,249,508,3071,-,4635,-,228,-,215,12,4180
"인천광역시","합계",300592,218808,133750,18888,2498,818,7248,24563,12087,1376,4893,12499,188,81784,20223,2893,11310,6916,164,40278
"인천광역시","0세",15954,14159,13284,486,40,123,-,167,-,-,-,-,59,1795,218,-,-,1230,-,347
"인천광역시","1세",18131,14880,10690,1075,57,39,-,3014,-,-,-,-,5,3251,2111,-,-,660,-,480
"인천광역시","2세",18626,12495,6392,703,59,55,-,5286,-,-,-,-,-,6131,4600,-,-,486,-,1045
"인천광역시","3세",20749,13431,5729,902,39,88,-,6120,553,-,-,-,-,7318,5259,-,552,308,-,1199
"인천광역시","4세",23915,15138,6331,1041,46,41,-,4360,3310,-,-,-,9,8777,3767,-,3180,315,-,1515
"인천광역시","5세",25185,16413,7122,1298,112,62,-,3253,4549,-,-,-,17,8772,2661,-,3954,370,-,1787
"인천광역시","6세",24976,16953,8595,1529,120,108,92,2363,3675,22,269,173,7,8023,1607,98,3624,463,15,2216
"인천광역시","7세",25478,18659,13086,2101,207,107,293,-,-,200,1470,1176,19,6819,-,936,-,605,20,5258
"인천광역시","8세",26609,19825,13497,2171,202,61,799,-,-,204,1097,1775,19,6784,-,691,-,676,28,5389
"인천광역시","9세",27424,20397,13497,2492,339,45,1069,-,-,296,692,1957,10,7027,-,400,-,538,29,6060
"인천광역시","10세",25623,19433,12592,1797,439,46,1397,-,-,259,472,2425,6,6190,-,331,-,505,28,5326
"인천광역시","11세",25729,19712,12403,1897,420,27,1797,-,-,230,346,2577,15,6017,-,277,-,409,27,5304
"인천광역시","12세",22193,17313,10532,1396,418,16,1801,-,-,165,547,2416,22,4880,-,160,-,351,17,4352
"광주광역시","합계",160774,114773,57805,8779,1232,562,3136,14259,9680,2000,3901,13296,123,46001,8646,2391,6018,2631,359,25956
"광주광역시","0세",7535,6780,6091,399,18,105,-,161,-,-,-,-,6,755,99,-,-,451,-,205
"광주광역시","1세",8992,7287,5064,535,18,69,-,1601,-,-,-,-,-,1705,992,-,-,397,-,316
"광주광역시","2세",10036,7046,3017,505,14,73,-,3437,-,-,-,-,-,2990,2386,-,-,160,-,444
"광주광역시","3세",10767,7546,2562,550,31,36,-,3851,516,-,-,-,-,3221,2058,-,430,113,-,620
"광주광역시","4세",12250,8271,2902,542,58,51,-,2135,2575,-,-,-,8,3979,1405,-,1695,146,-,733
"광주광역시","5세",13229,9173,3395,612,45,12,-,1737,3362,-,-,-,10,4056,976,-,2181,126,-,773
"광주광역시","6세",13405,9551,3711,788,96,38,47,1337,3227,19,157,131,-,3854,730,105,1712,191,-,1116
"광주광역시","7세",13925,9332,5341,1125,160,58,196,-,-,272,1118,1041,21,4593,-,676,-,291,41,3585
"광주광역시","8세",15190,10304,5718,1076,123,39,360,-,-,389,831,1744,24,4886,-,628,-,239,88,3931
"광주광역시","9세",14443,9926,5393,880,112,24,467,-,-,427,560,2063,-,4517,-,328,-,145,82,3962
"광주광역시","10세",14488,10204,5257,752,165,24,548,-,-,360,499,2588,11,4284,-,291,-,133,55,3805
"광주광역시","11세",14057,10064,4930,584,178,27,760,-,-,289,442,2836,18,3993,-,249,-,131,63,3550
"광주광역시","12세",12457,9289,4424,431,214,6,758,-,-,244,294,2893,25,3168,-,114,-,108,30,2916
"대전광역시","합계",152363,108048,57552,8938,1351,697,3537,14540,8680,927,2918,8854,54,44315,9237,1618,6008,3128,84,24240
"대전광역시","0세",7616,6733,6176,251,14,68,-,208,-,-,-,-,16,883,134,-,-,525,-,224
"대전광역시","1세",8845,6975,4717,544,67,41,-,1606,-,-,-,-,-,1870,1258,-,-,327,-,285
"대전광역시","2세",9599,6816,2602,326,33,39,-,3816,-,-,-,-,-,2783,2180,-,-,165,-,438
"대전광역시","3세",10534,6845,2327,342,37,25,-,3762,352,-,-,-,-,3689,2615,-,299,110,-,665
"대전광역시","4세",11742,7532,2649,297,29,54,-,2153,2350,-,-,-,-,4210,1388,-,1795,244,-,783
"대전광역시","5세",12772,8656,3078,450,46,26,-,1722,3334,-,-,-,-,4116,1007,-,2152,116,-,841
"대전광역시","6세",12292,8379,3328,706,115,37,23,1273,2644,7,169,70,7,3913,655,52,1762,180,-,1264
"대전광역시","7세",13046,8820,5497,1103,68,100,113,-,-,122,882,933,2,4226,-,562,-,262,20,3382
"대전광역시","8세",13640,9334,5508,1215,93,76,336,-,-,139,711,1256,-,4306,-,356,-,333,14,3603
"대전광역시","9세",14204,10112,5963,1097,247,67,570,-,-,186,396,1577,9,4092,-,280,-,258,24,3530
"대전광역시","10세",13313,9561,5391,1028,196,49,838,-,-,192,347,1520,-,3752,-,137,-,223,15,3377
"대전광역시","11세",13095,9654,5529,816,217,73,803,-,-,170,257,1782,7,3441,-,143,-,190,11,3097
"대전광역시","12세",11665,8631,4787,763,189,42,854,-,-,111,156,1716,13,3034,-,88,-,195,-,2751
"울산광역시","합계",129654,90578,52096,5695,637,324,2084,11637,6190,404,2520,8884,107,39076,9148,1892,5248,2094,122,20572
"울산광역시","0세",6700,6131,5806,183,19,39,-,66,-,-,-,-,18,569,58,-,-,419,-,92
"울산광역시","1세",7309,6078,4456,339,34,44,-,1205,-,-,-,-,-,1231,766,-,-,252,-,213
"울산광역시","2세",8030,5292,2465,245,10,23,-,2549,-,-,-,-,-,2738,2265,-,-,98,-,375
"울산광역시","3세",9012,5671,2092,289,-,8,-,3077,201,-,-,-,4,3341,2500,-,207,57,-,577
"울산광역시","4세",10968,7129,2900,340,30,20,-,2114,1700,-,-,-,25,3839,1673,-,1467,117,-,582
"울산광역시","5세",11096,7344,3185,388,11,40,-,1390,2325,-,-,-,5,3752,1090,-,1933,45,-,684
"울산광역시","6세",10976,7464,3454,455,30,39,11,1236,1964,-,147,119,9,3512,796,70,1641,129,-,876
"울산광역시","7세",11171,7253,4756,593,92,28,103,-,-,60,744,871,6,3918,-,564,-,213,46,3095
"울산광역시","8세",11966,8110,5169,743,62,18,134,-,-,81,613,1280,10,3856,-,393,-,204,37,3222
"울산광역시","9세",11244,7657,4613,500,78,21,352,-,-,75,363,1650,5,3587,-,279,-,127,18,3163
"울산광역시","10세",11086,7959,4654,703,91,23,425,-,-,61,263,1733,6,3127,-,208,-,185,15,2719
"울산광역시","11세",10729,7763,4674,521,82,10,547,-,-,50,225,1641,13,2966,-,250,-,124,6,2586
"울산광역시","12세",9367,6727,3872,396,98,11,512,-,-,77,165,1590,6,2640,-,128,-,124,-,2388
"세종특별자치시","합계",60075,42589,24021,2523,203,162,1499,7103,2631,71,1229,3147,-,17486,4371,676,2159,861,23,9396
"세종특별자치시","0세",3458,3075,2931,84,6,23,-,31,-,-,-,-,-,383,37,-,-,204,-,142
"세종특별자치시","1세",3663,2916,2062,154,6,7,-,687,-,-,-,-,-,747,476,-,-,150,-,121
"세종특별자치시","2세",4320,2924,1143,116,15,19,-,1631,-,-,-,-,-,1396,1042,-,-,56,-,298
"세종특별자치시","3세",4169,2710,932,165,-,-,-,1572,41,-,-,-,-,1459,1121,-,58,28,-,252
"세종특별자치시","4세",5184,3443,1137,113,10,22,-,1389,772,-,-,-,-,1741,685,-,692,54,-,310
"세종특별자치시","5세",5114,3542,1233,230,21,19,-,1083,956,-,-,-,-,1572,604,-,707,52,-,209
"세종특별자치시","6세",5053,3527,1573,209,-,44,9,710,862,-,89,31,-,1526,406,9,702,27,-,382
"세종특별자치시","7세",5145,3574,2552,305,19,-,94,-,-,-,366,238,-,1571,-,190,-,77,6,1298
"세종특별자치시","8세",5346,3693,2274,322,43,12,112,-,-,15,396,519,-,1653,-,183,-,53,6,1411
"세종특별자치시","9세",4957,3446,2260,211,6,7,263,-,-,27,184,488,-,1511,-,113,-,11,3,1384
"세종특별자치시","10세",4864,3413,2149,277,18,-,272,-,-,-,76,621,-,1451,-,65,-,71,3,1312
"세종특별자치시","11세",4750,3474,2146,206,32,9,335,-,-,23,86,637,-,1276,-,88,-,26,3,1159
"세종특별자치시","12세",4052,2852,1629,131,27,-,414,-,-,6,32,613,-,1200,-,28,-,52,2,1118
"경기도","합계",1493138,1087020,666990,84554,11187,5344,36983,141681,53676,6184,20327,59214,880,406118,103410,10526,54015,31485,460,206222
"경기도","0세",79603,71447,66159,2731,253,711,-,1347,-,-,-,-,246,8156,997,-,-,5240,-,1919
"경기도","1세",89237,70789,50018,4555,239,539,-,15427,-,-,-,-,11,18448,11019,-,-,3645,-,3784
"경기도","2세",95328,64391,29312,3886,197,280,-,30701,-,-,-,-,15,30937,23150,-,-,2118,-,5669
"경기도","3세",104922,68425,27516,3528,171,366,-,34072,2747,-,-,-,25,36497,26265,-,2553,1379,-,6300
